,KUA,KZL,KAV,KDL,KTR,KTM,KCV,KDE,KUD,KTT,KNJ,KGM,KZU,KIK,KPU,KPA,KPD,KTS,KPC,KSV
KNJ,0.2925014479068056,0.18596262973961544,0.12157719918529131,-0.1577662384359163,0.0741569041347593,0.2515608178228979,0.5344386869574584,0.14005499669596247,0.1637333285468445,-0.11959170796349058,1.0,0.5118346609517267,0.2078228861783057,0.5740341324914148,0.2868277955431479,0.2995214513935464,-0.08958729198660247,0.3015707011236582,0.21023083608090132,0.07189921616061162
KGM,0.06292745458547633,0.4440403437319851,0.1777043153818686,-0.15304529593304933,0.03390279011165276,0.02175147090376693,0.49940790732474544,-0.028997901129679766,-0.00774415217928186,-0.11048656177863718,0.5118346609517267,1.0,0.5127136281603119,0.29046341684703664,-0.160952772538823,0.023652393974381937,0.21193333524012056,0.10505428475653901,0.04586412343208463,0.04302575838014469
KZU,0.03443535116020058,0.9930256516705859,0.4052380736808033,-0.014095693612977826,0.22261526481221852,0.07298103523063734,0.1704206003327253,0.023102450817197414,0.04473242796300654,-0.010536128484919563,0.2078228861783057,0.5127136281603119,1.0,0.18018437597184825,-0.18437780684042993,-0.07247999585916785,0.21493075797296565,0.04856840964990803,0.04675368053551229,0.21813051861020813
KIK,0.3494780737544571,0.17033110196968948,0.10974338404506444,-0.024830982032367218,0.11452317328703249,0.3212967172403492,0.7001921839450493,0.24811182982733343,0.25839749431283143,-0.006477164331991327,0.5740341324914148,0.29046341684703664,0.18018437597184825,1.0,0.14221679002631543,0.3279911576297473,-0.11945648045204829,0.28079475565675444,0.2874868585644251,0.12632925083202468
KPU,0.566249263734676,-0.17148330644664184,0.2808800915699592,0.14595655191985438,0.147769175418697,0.679389245597608,0.10472284619994887,0.6347883540805604,0.6666266098864823,0.17315187722524084,0.2868277955431479,-0.160952772538823,-0.18437780684042993,0.14221679002631543,1.0,0.7836944156369294,0.016581978021167412,0.7142508959949555,0.6824402726308613,0.11707945396852512
KPA,0.8588867681469686,-0.06731930022014003,0.1707333210955738,0.017872020562379416,-0.060841268436773954,0.850345442931749,0.30644845076398447,0.813627886905008,0.8635894777740689,0.13125819284818752,0.2995214513935464,0.023652393974381937,-0.07247999585916785,0.3279911576297473,0.7836944156369294,1.0,-0.03152926073864059,0.9045470264979755,0.9244759408756639,-0.06916450278855334
KPD,-0.23826228492217694,0.1855736671391102,0.4606374591225208,0.7734886868408178,-0.3753400209015949,-0.24954899039578965,-0.2775555112914925,-0.31691909865312534,-0.26931145266673884,0.8126691604372052,-0.08958729198660247,0.21193333524012056,0.21493075797296565,-0.11945648045204829,0.016581978021167412,-0.03152926073864059,1.0,-0.21708614388914807,-0.2531360247331997,-0.42402221666773776
KTS,0.8536680663841187,0.0381218631522154,0.10076446823343138,-0.1907943067678353,0.17737963789713135,0.9335856826498383,0.47036907999107386,0.826515617322705,0.9480833737316903,-0.12663026818197626,0.3015707011236582,0.10505428475653901,0.04856840964990803,0.28079475565675444,0.7142508959949555,0.9045470264979755,-0.21708614388914807,1.0,0.9595761736777054,0.1745931783926132
KPC,0.92810572846125,0.050331778398145684,0.068125766298676,-0.18813677864423511,0.14493311665752817,0.9388712069509519,0.36141513539785036,0.8940776286051758,0.96233711108811,-0.10015298398429223,0.21023083608090132,0.04586412343208463,0.04675368053551229,0.2874868585644251,0.6824402726308613,0.9244759408756639,-0.2531360247331997,0.9595761736777054,1.0,0.14402146624261766
KSV,0.15078309192842274,0.2215845818347174,-0.2829374344321721,-0.37528906562502484,0.996728737993504,0.3905912437974572,0.29083739692531313,0.3429289132161351,0.30734972231708463,-0.4462688654334149,0.07189921616061162,0.04302575838014469,0.21813051861020813,0.12632925083202468,0.11707945396852512,-0.06916450278855334,-0.42402221666773776,0.1745931783926132,0.14402146624261766,1.0
